percentile,percentiles-only,SLR-only,Socioeconomic-only,SLR&SE
0.0,,1387.1513928575619,447.0635306325638,430.69470393495203
0.01,,1483.3384444054875,791.4212974465689,702.3937600932078
0.025,,1568.8598486807352,1008.4742314385616,865.4666548401656
0.05,1792.9047438053663,1665.7155367248495,1113.7053765233536,1010.8272582009026
0.17,,1883.9698544541939,1529.0633032057142,1359.863792745448
0.25,,1964.1432548875796,1699.575220060524,1551.083493453055
0.5,1997.5853962328626,2150.155340293724,2085.8091138636983,1928.2280986056976
0.75,,2377.5557817554572,2538.3355527761896,2362.2922662495357
0.83,,2479.742534304804,2738.3658524406283,2543.6410795315874
0.95,2542.9262074916637,2773.540973359978,3278.5131971661463,3153.760851616276
0.975,,2895.4711112229147,3492.031159811523,3401.6147334087696
0.99,,3054.535331602172,3817.731886592095,3814.733670462226
1.0,,3729.1314937471116,4468.737572396287,5325.009357566107
